Plant_Species,Salmonella Typhimurium,Reference,SMILES,Chemical_name,Bit_1574,BitInterpretations,Concentration
Levisticum officinale,1,DOI:10.3389/fvets.2023.1188752,CC(CCC=C(C)C)CC=O,(-)-Citronellal,1,"[(4, 'C', 2, 'CCC=C(C)C')]",0.1284
Cymbopogon winterianus,1,DOI:10.1080/13880200802055917,CC(CCC=C(C)C)CC=O,(-)-Citronellal,1,"[(4, 'C', 2, 'CCC=C(C)C')]",0.348
Cymbopogon nardus,0,DOI:10.1016/j.foodcont.2005.11.009,CC(CCC=C(C)C)CC=O,(-)-Citronellal,1,"[(4, 'C', 2, 'CCC=C(C)C')]",0.3847
Artemisia chamaemelifolia,1,DOI:10.1590/S0102-695X2013000600002,CC(C)=CCC\C(C)=C\CCC(C)(O)C=C,(E)-Nerolidol,1,"[(3, 'C', 2, 'CCC=C(C)C')]",0.226
Jasminum azoricum,1,DOI:10.3390/plants10061089,CC(C)=CCC\C(C)=C\CC\C(C)=C\CO,"(E,E)-Farnesol",1,"[(3, 'C', 2, 'CCC=C(C)C')]",0.301
Jasminum sambac,0,DOI:DOI:10.3390/coatings12101492,CC(C)=CCC\C(C)=C/C\C=C(/C)C=C,"(E,Z)-alpha-Farnesene",1,"[(3, 'C', 2, 'CCC=C(C)C')]",0.1
Lonicera japonica,1,DOI:10.1155/2015/905063,CC(C)=CCC\C(C)=C/C\C=C(/C)C=C,"(E,Z)-alpha-Farnesene",1,"[(3, 'C', 2, 'CCC=C(C)C')]",0.12
Aeollanthus suaveolens,0,No Reference,CC(C)=CCC\C(C)=C/CCC(=C)C=C,(Z)-beta-Farnesene,1,"[(3, 'C', 2, 'CCC=C(C)C')]",0.1402
Rosa rugosa,0,No Reference,CC(CCO)CCC=C(C)C,Citronellol,1,"[(7, 'C', 2, 'CCC=C(C)C')]",0.53
Cymbopogon winterianus,1,DOI:10.1080/13880200802055917,CC(CCO)CCC=C(C)C,Citronellol,1,"[(4, 'C', 2, 'CCC=C(C)C')]",0.14
Cymbopogon nardus,0,DOI:10.1016/j.foodcont.2005.11.009,CC(CCO)CCC=C(C)C,Citronellol,1,"[(4, 'C', 2, 'CCC=C(C)C')]",0.1419
Rosa damascena,1,DOI:10.3389/fvets.2023.1188752,CC(CCO)CCC=C(C)C,Citronellol,1,"[(7, 'C', 2, 'CCC=C(C)C')]",0.334
Terminalia bentzoe,0,No Reference,C[C@@H](CCOC(C)=O)CCC=C(C)C,Citronellyl acetate,1,"[(10, 'C', 2, 'CCC=C(C)C')]",0.6487
Hibiscus abelmoschus,0,No Reference,CC(=CCCC(=CCCC(=CCOC(=O)C)C)C)C,Farnesyl acetate,1,"[(2, 'C', 2, 'CCC=C(C)C')]",0.6422
Lippia citriodora,0,DOI:10.3390/molecules23010123,CC(C)=CCC\C(C)=C\C=O,Geranial,1,"[(3, 'C', 2, 'CCC=C(C)C')]",0.099
Citrus sinensis,0,DOI:10.3390/molecules26113412,CC(C)=CCC\C(C)=C\C=O,Geranial,1,"[(3, 'C', 2, 'CCC=C(C)C')]",0.116
Pelargonium citronellum,0,No Reference,CC(C)=CCC\C(C)=C\C=O,Geranial,1,"[(3, 'C', 2, 'CCC=C(C)C')]",0.4
Dracocephalum moldavica,1,DOI:10.3390/plants11070941,CC(C)=CCC\C(C)=C\C=O,Geranial,1,"[(3, 'C', 2, 'CCC=C(C)C')]",0.286
Lippia alba,1,DOI:10.3390/antibiotics10101191,CC(C)=CCC\C(C)=C\C=O,Geranial,1,"[(3, 'C', 2, 'CCC=C(C)C')]",0.383
Cymbopogon citratus,0,DOI:10.3390/molecules24050900,CC(C)=CCC\C(C)=C\C=O,Geranial,1,"[(3, 'C', 2, 'CCC=C(C)C')]",0.48
Citrus medica,1,10.1016/j.lwt.2017.05.036,CC(C)=CCC\C(C)=C\C=O,Geranial,1,"[(3, 'C', 2, 'CCC=C(C)C')]",0.2756
Perilla frutescens,0,No Reference,CC(C)=CCC\C(C)=C\C=O,Geranial,1,"[(3, 'C', 2, 'CCC=C(C)C')]",0.3976
Citrus aurantifolia,1,DOI:10.3390/ijms19071966,CC(C)=CCC\C(C)=C\C=O,Geranial,1,"[(3, 'C', 2, 'CCC=C(C)C')]",0.4
Pectis elongata,0,No Reference,CC(C)=CCC\C(C)=C\C=O,Geranial,1,"[(3, 'C', 2, 'CCC=C(C)C')]",0.3
Calyptranthes sintenisii,0,No Reference,CC(C)=CCC\C(C)=C\C=O,Geranial,1,"[(3, 'C', 2, 'CCC=C(C)C')]",0.3506
Aloysia triphylla,0,DOI:10.3390/molecules24050900,CC(C)=CCC\C(C)=C\C=O,Geranial,1,"[(3, 'C', 2, 'CCC=C(C)C')]",0.099
Pectis elongata,0,No Reference,CC(C)=CCC\C(C)=C\C(O)=O,Geranic acid,1,"[(3, 'C', 2, 'CCC=C(C)C')]",0.1
Cymbopogon winterianus,1,DOI:10.1080/13880200802055917,CC(C)=CCC\C(C)=C\CO,Geraniol,1,"[(4, 'C', 2, 'CCC=C(C)C')]",0.226
Monarda fistulosa,0,No Reference,CC(C)=CCC\C(C)=C\CO,Geraniol,1,"[(3, 'C', 2, 'CCC=C(C)C')]",0.9315
Thymus quinquecostatus,1,DOI:10.1007/BF02973874,CC(C)=CCC\C(C)=C\CO,Geraniol,1,"[(3, 'C', 2, 'CCC=C(C)C')]",0.0934
Helichrysum amorginum,0,No Reference,CC(C)=CCC\C(C)=C\CO,Geraniol,1,"[(3, 'C', 2, 'CCC=C(C)C')]",0.3211
Rosa damascena,1,DOI:10.3389/fvets.2023.1188752,CC(C)=CCC\C(C)=C\CO,Geraniol,1,"[(7, 'C', 2, 'CCC=C(C)C')]",0.18
Cymbopogon nardus,0,DOI:10.1016/j.foodcont.2005.11.009,CC(C)=CCC\C(C)=C\CO,Geraniol,1,"[(4, 'C', 2, 'CCC=C(C)C')]",0.1683
Viburnum orientale,0,No Reference,CC(C)=CCC\C(C)=C\CO,Geraniol,1,"[(3, 'C', 2, 'CCC=C(C)C')]",0.1015
Alpinia katsumadai,0,No Reference,CC(C)=CCC\C(C)=C\CO,Geraniol,1,"[(3, 'C', 2, 'CCC=C(C)C')]",0.25
Dracocephalum moldavica,1,DOI:10.3390/plants11070941,CC(C)=CCC\C(C)=C\COC(C)=O,Geranyl acetate,1,"[(3, 'C', 2, 'CCC=C(C)C')]",0.378
Helichrysum amorginum,0,No Reference,CC(C)=CCC\C(C)=C\COC(C)=O,Geranyl acetate,1,"[(3, 'C', 2, 'CCC=C(C)C')]",0.2076
Jasminum azoricum,1,DOI:10.3390/plants10061089,CC(C)=CCC\C(C)=C\CC\C(C)=C\CCC(C)(O)C=C,Geranyllinalool,1,"[(3, 'C', 2, 'CCC=C(C)C')]",0.217
Agathosma betulina,0,No Reference,CC1CCC(=C(C1=O)O)C(C)C,Isodiosphenol,1,"[(4, 'C', 1, 'C=C(C)C')]",0.1858
Artemisia alba,0,No Reference,O=C1[C@H]([C@]2(C([C@](C2)(C1)[H])(C)C)[H])C,Isopinocamphone,1,"[(5, 'C', 2, 'CC[C@H]1CCC1(C)C')]",0.346
Lawsonia inermis,1,DOI:10.1080/14786419.2019.1569006,CC(C)=CCCC(C)(O)C=C,Linalool,1,"[(3, 'C', 2, 'CCC=C(C)C')]",0.198
Monarda didyma,0,No Reference,CC(C)=CCCC(C)(O)C=C,Linalool,1,"[(3, 'C', 2, 'CCC=C(C)C')]",0.645
Perilla frutescens,0,No Reference,CC(C)=CCCC(C)(O)C=C,Linalool,1,"[(3, 'C', 2, 'CCC=C(C)C')]",0.1127
