Plant_Species,Salmonella Typhimurium,Reference,SMILES,Chemical_name,Bit_1607,BitInterpretations,Concentration
Rheum palmatum,1,10.25141/2471-7371-2015-1.0001,CC(=O)C1=C(C=C(C=C1)OC)O,2-Hydroxy-4-methoxy-acetophenone,1,"[(4, 'C', 1, 'cc(c)O')]",0.162
Artemisia chamaemelifolia,1,DOI:10.1590/S0102-695X2013000600002,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(8, 'C', 1, 'cc(c)O')]",0.163
Thymus satureoides,1,DOI:10.1016/j.foodcont.2005.11.009,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(9, 'C', 1, 'cc(c)O')]",0.2
Thymus richardii,1,DOI:10.3390/molecules28124803,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(8, 'C', 1, 'cc(c)O')]",0.131
Thymus riatarum,1,DOI:10.3390/medicines3030019,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(8, 'C', 1, 'cc(c)O')]",0.223
Thymus quinquecostatus,1,DOI:10.1007/BF02973874,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(8, 'C', 1, 'cc(c)O')]",0.1123
Thymus mongolicus,1,DOI:10.3390/molecules26020307,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(8, 'C', 1, 'cc(c)O')]",0.512
Saturiea hortensis,1,DOI:10.22037/afb.v1i1.7134,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(8, 'C', 1, 'cc(c)O')]",0.5715
Satureja hortensis,1,DOI:10.1016/j.foodcont.2005.11.009,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(8, 'C', 1, 'cc(c)O')]",0.5715
Origanum vulgare,1,DOI:10.1111/j.1600-0463.2005.apm1130101.x,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(8, 'C', 1, 'cc(c)O')]",0.2925
Origanum syriacum,1,DOI:10.4103/japtr.japtr_106_21,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(8, 'C', 1, 'cc(c)O')]",0.883
Origanum glandulosum,1,DOI:10.1016/j.foodchem.2007.05.050,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(9, 'C', 1, 'cc(c)O')]",0.41
Oliveria decumbens,1,DOI:10.21203/rs.3.rs-3164788/v1,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(9, 'C', 1, 'cc(c)O')]",0.221
Origanum onites,1,DOI:10.1016/j.foodcont.2009.07.016,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(8, 'C', 1, 'cc(c)O')]",0.75
Lippia graveolens,1,DOI:10.3390/pathogens12101245,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(9, 'C', 1, 'cc(c)O')]",0.165
Coleus aromaticus,1,DOI:10.1155/2012/457150,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(9, 'C', 1, 'cc(c)O')]",0.1325
Corydothymus capitatus,1,DOI:10.1016/j.foodcont.2005.11.009,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(8, 'C', 1, 'cc(c)O')]",0.736
Coridothymus capitatus,1,DOI:10.1111/j.1600-0463.2005.apm1130101.x,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(8, 'C', 1, 'cc(c)O')]",0.736
Eugenia caryophyllus,1,DOI:10.1016/j.foodcont.2005.11.009,COC1=C(O)C=CC(CC=C)=C1,Eugenol,1,"[(3, 'C', 1, 'cc(c)O')]",0.643
Ocimum gratissimum,1,DOI:10.1016/j.micpath.2018.03.041,COC1=C(O)C=CC(CC=C)=C1,Eugenol,1,"[(3, 'C', 1, 'cc(c)O')]",0.2
Artemisia scoparia,1,DOI:10.1177/1934578X20915034,COC1=C(O)C=CC(CC=C)=C1,Eugenol,1,"[(3, 'C', 1, 'cc(c)O')]",0.3
Pimenta dioica,1,DOI:10.1016/j.foodcont.2005.11.009,COC1=C(O)C=CC(CC=C)=C1,Eugenol,1,"[(3, 'C', 1, 'cc(c)O')]",0.87
Pimenta racemosa,1,DOI:10.5897/JMPR2017.6435,COC1=C(O)C=CC(CC=C)=C1,Eugenol,1,"[(3, 'C', 1, 'cc(c)O')]",0.527
Piper betle,1,DOI:10.12982/VIS.2022.042,COC1=C(O)C=CC(CC=C)=C1,Eugenol,1,"[(3, 'C', 1, 'cc(c)O')]",0.6356
Cinnamomum zeylanicum,1,10.1007/s10068-017-0241-9,COC1=C(O)C=CC(CC=C)=C1,Eugenol,1,"[(3, 'C', 1, 'cc(c)O')]",0.1335
Thymus satureoides,1,DOI:10.1016/j.foodcont.2005.11.009,CC(C)c1ccc(C)cc1O,Thymol,1,"[(9, 'C', 1, 'cc(c)O')]",0.1
Coleus aromaticus,1,DOI:10.1155/2012/457150,CC(C)c1ccc(C)cc1O,Thymol,1,"[(9, 'C', 1, 'cc(c)O')]",0.413
Origanum glandulosum,1,DOI:10.1016/j.foodchem.2007.05.050,CC(C)c1ccc(C)cc1O,Thymol,1,"[(9, 'C', 1, 'cc(c)O')]",0.225
Oliveria decumbens,1,DOI:10.21203/rs.3.rs-3164788/v1,CC(C)c1ccc(C)cc1O,Thymol,1,"[(9, 'C', 1, 'cc(c)O')]",0.372
Lippia graveolens,1,DOI:10.3390/pathogens12101245,CC(C)c1ccc(C)cc1O,Thymol,1,"[(9, 'C', 1, 'cc(c)O')]",0.463
Majorana hortensis,1,DOI:10.1155/2016/3694901,CC(C)c1ccc(C)cc1O,Thymol,1,"[(9, 'C', 1, 'cc(c)O')]",0.1155
Thymus vulgaris,1,DOI:10.1016/j.foodcont.2005.11.009,CC(C)c1ccc(C)cc1O,Thymol,1,"[(9, 'C', 1, 'cc(c)O')]",0.272
Satureja thymbra,1,DOI:10.1080/14786410310001608145,CC(C)c1ccc(C)cc1O,Thymol,1,"[(9, 'C', 1, 'cc(c)O')]",0.66
Thymus zygis,1,DOI:10.1111/j.1600-0463.2005.apm1130101.x,CC(C)c1ccc(C)cc1O,Thymol,1,"[(9, 'C', 1, 'cc(c)O')]",0.5165
