Plant_Species,Salmonella Typhimurium,Reference,SMILES,Chemical_name,Bit_794,BitInterpretations,Concentration
Trifolium repens,0,No Reference,C.CCCC,Alkanes,1,"[(2, 'C', 1, 'CCC'), (3, 'C', 1, 'CCC')]",0.257
Trifolium pratense,0,DOI:10.3390/molecules19010713,C.CCCC,Alkanes,1,"[(2, 'C', 1, 'CCC'), (3, 'C', 1, 'CCC')]",0.197
Gardenia jasminoides,0,No Reference,C.CCCC,Alkanes,1,"[(2, 'C', 1, 'CCC'), (3, 'C', 1, 'CCC')]",0.1728
Salvia officinalis,1,DOI:10.1016/j.meatsci.2011.11.026,[H][C@@](COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC,Camphor,1,"[(24, 'C', 1, 'CCC'), (50, 'C', 1, 'CCC')]",0.2245
Salvia lavandulaefolia,1,DOI:10.1007/s13197-017-2905-0,[H][C@@](COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC,Camphor,1,"[(24, 'C', 1, 'CCC'), (50, 'C', 1, 'CCC')]",0.126
Rosmarinus officinalis,1,DOI:10.1016/J.LWT.2017.05.075,[H][C@@](COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC,Camphor,1,"[(24, 'C', 1, 'CCC'), (50, 'C', 1, 'CCC')]",0.126
Picea engelmanni,0,No Reference,[H][C@@](COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC,Camphor,1,"[(24, 'C', 1, 'CCC'), (50, 'C', 1, 'CCC')]",0.1272
Achillea millefolium,0,DOI:10.3390/medicines4020030,[H][C@@](COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC,Camphor,1,"[(24, 'C', 1, 'CCC'), (50, 'C', 1, 'CCC')]",0.1085
Lavandula latifolia,0,No Reference,[H][C@@](COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC,Camphor,1,"[(24, 'C', 1, 'CCC'), (50, 'C', 1, 'CCC')]",0.235
Cinnamomum camphora,1,DOI:10.1111/lam.13610. Epub 2021 Dec 1.,[H][C@@](COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC,Camphor,1,"[(24, 'C', 1, 'CCC'), (50, 'C', 1, 'CCC')]",0.8387
