,Limonene,beta-Pinene,alpha-Pinene,para-Cymene,beta-Caryophyllene,alpha-Phellandrene,Camphor,"1,8-Cineole",beta-Farnesene,beta-Elemene,alpha-Atlantone,ar-Curcumene,beta-Bisabolol,beta-Curcumene,Zingiberene,beta-Sesquiphellandrene,alpha-Zingiberene,"(E,E)-Germacrone",Curcuphenol,ar-Turmerone,Turmerone,ar-Turmerol,"2-(1,5-Dimethylhex-4-enyl)-4-methylphenol",Turmerol,ar-Dihydroturmerone,"(6S,1R)-6-(1,5-Dimethylhex-4-enyl)-3-methylcyclohex-2-enone"
"Turmeric (China) 2 - Curcuma longa L. (C. domestica Val.), fam. Zingiberaceae",0.0005,0.0027,0.0053,0.0005,0.002,0.0005,0.0005,0.0005,0.002,0.0005,0.024,0.014,0.003,0.025,0.0005,0.024,0.0,0.0005,0.006,0.247,0.295,0.009,0.009,0.2,0.0,0.011
"Turmeric (Indonesia) - Curcuma longa L. (C. domestica Val.), fam. Zingiberaceae",0.0001,0.0,0.0,0.0001,0.002,0.0001,0.0001,0.0001,0.002,0.0001,0.024,0.014,0.003,0.025,0.0,0.024,0.0001,0.0001,0.006,0.247,0.295,0.009,0.009,0.2,0.014,0.011
