,Limonene,beta-Pinene,alpha-Pinene,Camphene,para-Cymene,Tricyclene,Myrcene,Terpinolene,beta-Phellandrene,delta-3-Carene,alpha-Terpinene,Sabinene,alpha-Phellandrene,gamma-Terpinene,meta-Cymene,(E)-beta-Ocimene,(Z)-beta-Ocimene,alpha-Thujene,alpha-Fenchene,"alpha,p-Dimethylstyrene",p-Menthatriene (unknown isomer),"1,3,8-p-Menthatriene",2-Carene
"Pepper, black (variety Muntok) - Piper nigrum L., variety Muntok, fam. Piperaceae",0.2425,0.1581,0.0965,0.0032,0.0231,0.0001,0.0362,0.0093,0.0052,0.3591,0.002,0.0021,0.0493,0.0023,0.0017,0.0001,0.0001,0.0017,0.0004,0.0004,0.005,0.0001,0.0002
"Pepper, black 8 - Piper nigrum L., fam. Piperaceae",0.2713,0.1517,0.0865,0.003,0.0247,0.0,0.0325,0.0,0.002,0.3796,0.0014,0.0,0.0428,0.0021,0.0,0.0,0.0,0.0011,0.0,0.0,0.0,0.0,0.0
