,Limonene,beta-Pinene,alpha-Pinene,Camphene,para-Cymene,Borneol,alpha-Muurolene,beta-Caryophyllene,delta-Cadinene,gamma-Cadinene,Tricyclene,Myrcene,alpha-Humulene,Terpinolene,alpha-Terpinene,Sabinene,alpha-Terpineol,Linalool,Terpinen-4-ol,gamma-Terpinene,Camphor,alpha-Copaene,"1,8-Cineole",Caryophyllene oxide,Myrtenal,Myrtenol,Germacrene D,(E)-Nerolidol,(E)-beta-Ocimene,alpha-Cadinol,(Z)-beta-Ocimene,delta-Cadinol,alpha-Thujene,Ledol,alpha-Bisabolol,Chamazulene,Viridiflorol,Caryophyllenol II,"(Z,Z)-Farnesol"
"Yarrow (Estonia) 1b leaf - Achillea millefolium L., fam. Asteraceae (Compositae)",0.032,0.331,0.061,0.0075,0.013,0.01,0.001,0.026,0.001,0.0035,0.0005,0.0025,0.0035,0.0015,0.002,0.019,0.007,0.001,0.004,0.006,0.014,0.002,0.0815,0.035,0.0085,0.007,0.003,0.008,0.0015,0.003,0.0015,0.004,0.0015,0.004,0.0025,0.034,0.003,0.0025,0.0015
"Yarrow (Estonia) 1c stem - Achillea millefolium L., fam. Asteraceae (Compositae)",0.0475,0.32,0.0515,0.007,0.0115,0.0104,0.0005,0.0065,0.0005,0.0015,0.0005,0.001,0.003,0.0005,0.0025,0.01,0.004,0.002,0.003,0.0045,0.0145,0.0036,0.035,0.028,0.012,0.0095,0.002,0.01,0.002,0.001,0.001,0.001,0.0005,0.0025,0.0035,0.02,0.004,0.0005,0.003
