,Limonene,beta-Pinene,alpha-Pinene,alpha-Muurolene,delta-Cadinene,gamma-Cadinene,Myrcene,Sabinene,alpha-Terpineol,Linalool,gamma-Terpinene,"1,8-Cineole",alpha-Thujone,cis-Sabinene hydrate,Neryl acetate,(E)-beta-Ocimene,(Z)-beta-Ocimene,alpha-Thujene,"2-Methyl-6-methylene-1,7-octadien-3-one",alpha-Cubebene,trans-Linalool oxide (unknown isomer),trans-Dihydrocarvone,3-Methylbutanol,Indole,beta-Terpinene,"3,4-Dimethyloct-2,4,6-triene"
"Astronium fraxinifolium 1b - Astronium fraxinifolium Schott., fam. Anacardiaceae",0.0017,0.0,0.0,0.0014,0.0061,0.0083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.948,0.0043,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0
"Gourd, ridge (Columbia) flower headspace - Luffa acutangula, fam. Cucurbitaceae",0.0005,0.0005,0.0005,0.0,0.0,0.0,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.9,0.05,0.0005,0.0005,0.0,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
