Plant 1,Plant 2,Similarity Score,First Most Present Chemical,First Most Present Amount,Second Most Present Chemical,Second Most Present Amount,Third Most Present Chemical,Third Most Present Amount,Fourth Most Present Chemical,Fourth Most Present Amount,Fifth Most Present Chemical,Fifth Most Present Amount
"Bitter orange leaf (Petitgrain) (Italy) 1 - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae","Bitter orange leaf 2 (Petitgrain) - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae",0.9047743726713372,Linalyl acetate,0.56,Linalool,0.26,alpha-Terpineol,0.04,Geranyl acetate,0.03,Neryl acetate,0.01
"Bitter orange leaf (Petitgrain) (Italy) 2b - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae","Bitter orange leaf (Petitgrain) (Italy) 2c - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae",0.9060430809286002,Linalyl acetate,0.92,beta-Caryophyllene,0.03,beta-Bisabolene,0.01,Linalool,0.01,alpha-Pinene,0.0
"Bitter orange leaf (Petitgrain) (Italy) 2c - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae","Bitter orange leaf (Petitgrain) (Italy) 2b - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae",0.9060430809286002,Linalyl acetate,0.88,Linalool,0.04,beta-Caryophyllene,0.02,beta-Bisabolene,0.01,alpha-Pinene,0.01
"Bitter orange leaf 1 (Petitgrain) - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae","Bitter orange leaf 2 (Petitgrain) - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae",0.9007088426592882,Linalyl acetate,0.51,Linalool,0.23,alpha-Terpineol,0.06,Myrcene,0.03,Geraniol,0.03
"Bitter orange leaf 2 (Petitgrain) - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae","Bitter orange leaf (Petitgrain) (Italy) 1 - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae",0.9047743726713372,Linalyl acetate,0.51,Linalool,0.27,alpha-Terpineol,0.05,Geranyl acetate,0.03,Geraniol,0.02
"Clary sage (France) 1 - Salvia sclarea L., fam. Lamiaceae (Labiatae)","Clary sage 2 - Salvia sclarea L., fam. Lamiaceae (Labiatae)",0.9857555092914012,Linalyl acetate,0.7,Linalool,0.19,alpha-Terpineol,0.01,Camphor,0.01,beta-Caryophyllene,0.01
"Clary sage (France) 2 - Salvia sclarea L., fam. Lamiaceae (Labiatae)","Clary sage (Tasmania) - Salvia sclarea L., fam. Lamiaceae (Labiatae)",0.9210258000422874,Linalyl acetate,0.61,Linalool,0.12,Germacrene D,0.02,beta-Caryophyllene,0.02,alpha-Terpineol,0.0
"Clary sage (Tasmania) - Salvia sclarea L., fam. Lamiaceae (Labiatae)","Clary sage (France) 2 - Salvia sclarea L., fam. Lamiaceae (Labiatae)",0.9210258000422874,Linalyl acetate,0.62,Linalool,0.13,beta-Caryophyllene,0.03,alpha-Terpineol,0.02,Geranyl acetate,0.02
"Clary sage (U.S.A.) - Salvia sclarea L., fam. Lamiaceae (Labiatae)","Bitter orange leaf 2 (Petitgrain) - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae",0.908635357226692,Linalyl acetate,0.49,Linalool,0.24,Germacrene D,0.03,alpha-Terpineol,0.03,Geranyl acetate,0.03
"Clary sage 3 - Salvia sclarea L., fam. Lamiaceae (Labiatae)","Clary sage (France) 2 - Salvia sclarea L., fam. Lamiaceae (Labiatae)",0.9163520499653502,Linalyl acetate,0.65,Linalool,0.14,alpha-Terpineol,0.01,Caryophyllene oxide,0.01,beta-Caryophyllene,0.01
"Mentha citrata (Bergamot mint) (Argentina) 1 - Mentha citrata Ehrh., fam. Lamiaceae (Labiatae)","Clary sage 3 - Salvia sclarea L., fam. Lamiaceae (Labiatae)",0.900141852097491,Linalyl acetate,0.66,Linalool,0.13,Carvone,0.04,beta-Caryophyllene,0.02,alpha-Phellandrene,0.01
"Skimmia laureola (India) 1 - Skimmia laureola Sieb. et Zucc., fam. Rutaceae","Clary sage (France) 1 - Salvia sclarea L., fam. Lamiaceae (Labiatae)",0.9466988426338628,Linalyl acetate,0.72,Linalool,0.18,beta-Phellandrene,0.01,Geraniol,0.01,Citronellyl formate,0.01
