Unmatched Chemicals
Plant_Species
trans-Fragranyl acetate
Fragranyl isovalerate
"1(7),2-p-Menthadienol(8)"
delta-Copaene
alpha-Phellandren-8-ol
trans-Verbenyl 2-methylbutyrate
(Z)-beta-Farnesene
Sesquiterpene hydrocarbons
cis-Linalool oxide (5)
trans-Linalool oxide (5)
Sesquiterpene alcohols
Linalool oxides (cis/trans)
trans-Ocimene epoxide
trans-Linalool oxide (6)
"Allyl-2,3,4,5-tetramethoxybenzene"
"cis-3-Butylidene-4,5-dihydrophthalide"
alpha-oxo-Bisabolene
"Sesquiterpenes, oxygen-containing-"
4-Selinen-11-ol
Methyl thymol
Nonadecene/nonadecane
Alkanes & alkenes
"(-)-6-Pentyl-5,6-dihydro-2H-pyran-2-one"
"(-)-6-Heptyl-5,6-dihydro-2H-pyran-2-one"
Acids and esters
Nepetalactone 1
Nepetalactone 2
Nepetalactone 4
4-Methoxy-2-(E-3-methyloxiranyl)phenyl angelate
4-Methoxy-2-(E-3-methyloxiranyl)phenyl isobutyrate
"2-(1,2-Epoxypropane)-5-methoxyphenyl 2-methylbutyrate"
"2-(1,2-Epoxypropane)-5-methoxyphenyl isobutyrate"
"2-(1,2-Epoxypropyl)-5-methoxyphenyl tiglate"
dehydro-Fukinone
Dihydrotagetolen-2-one
Chrysantenyl acetate
Alkanes
"Allyl-2,4-dimethoxybenzene"
"cis,p-1(7),8-Menthadien-2-ol"
Carquejyl acetate
S-(3-Methylbut-2-enyl) 3-methylbutanethioate
(E)-Cinnamyl aldehyde
"trans-1-(3,4-Dimethoxyphenyl)butadiene"
2-Hydroxy-4-methoxy-acetophenone
Lachnophyllum methyl ester
6-epi-alpha-Bisabolol
3-alpha-Muurolol
Bisabolol oxide
Cyperotudone
"2,6-Dimethyl-3(E),5(E),7-octatrien-2-ol"
epi-alpha-Selinene
(E)-4-(1-Butenyl)anisole
cis-gamma-Irone
"Costus lactone, dihydrodehydro-"
"1-Butyl-3,4-methylenedioxybenzene"
"cis-p-Mentha-1(7),5-dien-2-ol"
"(Z,Z)-Germacrone"
gamma-Hexadecalactone
Cadina-4.1(10)-dien-8beta-ol
"Germacra-1(10),5-dien-11-ol"
iso-alpha-Cedrene
cis-4-Caranone
beta-Chenopodiol
"Eudesma-3,11-dien-6alpha-ol"
"1,2-Dihydro-acenaphthylene"
Diterpene hydrocarbons
"(E)-6,7-Ocimene oxide"
Chamazulenes
Agropinene
2-Methylene-3-buten-1-yl benzoate
Ledyl acetate
Nepetalactone 3a
7-epi-gamma Eudesmol
Brachyl oxide
Gramenone
trans-Dihydrofarnesol
Guai-6(7)-en-11-ol
Guai-7(11)-en-10-ol
Pentyl 4-isopropylbenzoate
1-Phenylbicyclo[3.3.1]non-2-en-9-ol
"4-Hydroxy-2,6,6-trimethyl-1-cyclohexenecarbaldehyde"
"3-Vinyl-1,2-dithia-5-cyclohexene"
