Plant_Species
"Agastache scrophulariaefolia leaf - Agastache scrophulariaefolia (Willd.) Kurtze, fam. Lamiaceae (Labiatae)"
"Agathosma apiculata - Agathosma apiculata G.F.W. Mey, fam. Diosmeae (Rutaceae)"
"Agathosma clavisepala - Agathosma clavisepala R.A. Dyer, fam. Diosmeae (Rutaceae)"
"Agathosma puberula - Agathosma puberula Fourcade, fam. Diosmeae (Rutaceae)"
"Agathosma rosmarinifolia - Agathosma rosmarinifolia (Bartl.) Williams, fam. Diosmea (Rutaceae)"
"Ageratum conyzoides (China) - Ageratum conyzoides L., fam. Asteraceae (Compositae)"
"Ageratum conyzoides (Ghana) - Ageratum conyzoides L., fam. Asteraceae (Compositae)"
"Ageratum conyzoides (Nigeria) - Ageratum conyzoides L., fam. Asteraceae (Compositae)"
"Ageratum conyzoides (Vietnam) - Ageratum conyzoides L., fam. Asteraceae (Compositae)"
"Ageratum conyzoides flower (Fiji) - Ageratum conyzoides L., fam. Asteraceae (Compositae)"
"Ageratum conyzoides flower (Pakistan) - Ageratum conyzoides L., fam. Asteraceae (Compositae)"
"Ageratum conyzoides leaf (Cameroon) - Ageratum conyzoides L., fam. Asteraceae (Compositae)"
"Ageratum conyzoides leaf and stem (Pakistan) - Ageratum conyzoides L., fam. Asteraceae (Compositae)"
"Ageratum conyzoides plant 1 (Fiji) - Ageratum conyzoides L., fam. Asteraceae (Compositae)"
"Ageratum conyzoides plant 2 (Fiji) - Ageratum conyzoides L., fam. Asteraceae (Compositae)"
"Ageratum houstonianum (India) - Ageratum houstonianum Mill., fam. Asteraceae (Compositae)"
"Aglaia duperreana flower (China) - Aglaia duperreana Pierre, fam. Meliaceae"
"Aglaia odorata flower (China) - Aglaia odorata Lour., fam. Meliaceae"
"Ajowan (India) 1a steamdistilled - Trachyspermum copticum (L.) Link., fam. Apiaceae (Umbelliferae)"
"Ajowan (India) 1b CO2-extract - Trachyspermum copticum (L.) Link., fam. Apiaceae (Umbelliferae)"
"Ajowan (India) 2 seed - Trachyspermum copticum (L.) Link., fam. Apiaceae (Umbelliferae)"
