,Limonene,alpha-Pinene,Camphene,para-Cymene,Myrcene,Cadinene (unknown isomer),Terpinolene,beta-Phellandrene,alpha-Terpinene,Sabinene,alpha-Terpineol,alpha-Phellandrene,Terpinen-4-ol,gamma-Terpinene,Citronellol,"1,8-Cineole",beta-Thujone,alpha-Thujene,Elemol,cis-Sabinyl acetate,cis-Sabinol
"Savin 3 - Juniperus sabina L., fam. Cupressaceae",0.015,0.017,0.001,0.0,0.035,0.0,0.015,0.0,0.0,0.221,0.014,0.0,0.024,0.011,0.0,0.0,0.01,0.009,0.0002,0.474,0.0
"Savin 4 - Juniperus sabina L., fam. Cupressaceae",0.015,0.016,0.001,0.002,0.034,0.001,0.008,0.002,0.005,0.235,0.0,0.002,0.031,0.013,0.002,0.002,0.011,0.009,0.002,0.455,0.003
