Plant 1,Plant 2,Similarity Score,First Most Present Chemical,First Most Present Amount,Second Most Present Chemical,Second Most Present Amount,Third Most Present Chemical,Third Most Present Amount,Fourth Most Present Chemical,Fourth Most Present Amount,Fifth Most Present Chemical,Fifth Most Present Amount
"Geranium (Egypt) 2 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium (Morocco) 3 - Pelargonium graveolens L'Herti. ex Aiton, fam. Geraniaceae",0.9049736280493168,Citronellol,0.27,Geraniol,0.18,Linalool,0.09,Citronellyl formate,0.07,Isomenthone,0.05
"Geranium (India)  4 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium, Bourbon  5 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae",0.959615921943431,Citronellol,0.2,Geraniol,0.18,Geranyl formate,0.09,Citronellyl formate,0.09,Isomenthone,0.08
"Geranium (Morocco) 3 - Pelargonium graveolens L'Herti. ex Aiton, fam. Geraniaceae","Geranium (Egypt) 2 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae",0.9049736280493168,Citronellol,0.28,Geraniol,0.21,Linalool,0.1,Citronellyl formate,0.06,Isomenthone,0.04
"Geranium 1 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium, Bourbon  8 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae",0.9997949201128356,Citronellol,0.24,Geraniol,0.17,Linalool,0.15,Citronellyl formate,0.08,Isomenthone,0.07
"Geranium, Bourbon  1 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium, Bourbon  6 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae",0.9639654154595422,Citronellol,0.23,Geraniol,0.21,Linalool,0.14,Citronellyl formate,0.12,Isomenthone,0.08
"Geranium, Bourbon  2 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium, Bourbon  3 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae",0.9206544883838929,Citronellol,0.21,Geraniol,0.17,Linalool,0.13,Citronellyl formate,0.08,Geranyl formate,0.08
"Geranium, Bourbon  3 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium, Bourbon  2 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae",0.9206544883838929,Citronellol,0.21,Geraniol,0.18,Linalool,0.11,Isomenthone,0.08,Citronellyl formate,0.08
"Geranium, Bourbon  5 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium (India)  4 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae",0.959615921943431,Citronellol,0.2,Geraniol,0.18,Citronellyl formate,0.1,Geranyl formate,0.09,Isomenthone,0.08
"Geranium, Bourbon  7 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium, Bourbon  3 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae",0.9178154027269614,Citronellol,0.22,Geraniol,0.18,Linalool,0.11,Isomenthone,0.08,Citronellyl formate,0.07
"Geranium, Bourbon 11 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium, Bourbon  3 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae",0.9192558006542056,Citronellol,0.21,Geraniol,0.18,Linalool,0.1,Isomenthone,0.1,Citronellyl formate,0.07
