Plant 1,Plant 2,Similarity Score,First Most Present Chemical,First Most Present Amount,Second Most Present Chemical,Second Most Present Amount,Third Most Present Chemical,Third Most Present Amount,Fourth Most Present Chemical,Fourth Most Present Amount,Fifth Most Present Chemical,Fifth Most Present Amount
"Lime (Mexican, West Indian, Key) (India) peel - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae","Lime (Mexican, West Indian, Key) (India) ripe - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae",0.9709728709088796,Limonene,0.46,beta-Pinene,0.23,gamma-Terpinene,0.1,alpha-Pinene,0.02,Neral,0.02
"Lime (Mexican, West Indian, Key) (India) ripe - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae","Lime (Mexican, West Indian, Key) (India) peel - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae",0.9709728709088796,Limonene,0.47,beta-Pinene,0.24,gamma-Terpinene,0.1,alpha-Pinene,0.02,Neral,0.02
"Lime (Mexican, West Indian, Key) (Ivory Coast) - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae","Lime (Mexican, West Indian, Key) 5 - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae",0.9004912684616495,Limonene,0.39,gamma-Terpinene,0.12,"1,8-Cineole",0.09,alpha-Terpineol,0.07,Terpinolene,0.07
"Lime (Mexican, West Indian, Key) (Peru) - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae","Lime (Mexican, West Indian, Key) 5 - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae",0.909855586736598,Limonene,0.39,gamma-Terpinene,0.13,Terpinolene,0.1,alpha-Terpineol,0.07,"1,8-Cineole",0.04
"Lime (Mexican, West Indian, Key) 1 - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae","Lime (Mexican, West Indian, Key) 2 - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae",0.961819218464156,Limonene,0.49,beta-Pinene,0.2,gamma-Terpinene,0.07,Sabinene,0.03,Geranial,0.02
"Lime (Mexican, West Indian, Key) 2 - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae","Lime (Mexican, West Indian, Key) 1 - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae",0.961819218464156,Limonene,0.48,beta-Pinene,0.2,gamma-Terpinene,0.08,Sabinene,0.03,Geranial,0.03
"Lime (Mexican, West Indian, Key) 3 - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae","Lime (Mexican, West Indian, Key) 4 - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae",0.9456733653722988,Limonene,0.48,gamma-Terpinene,0.11,Terpinolene,0.08,alpha-Terpineol,0.06,alpha-Terpinene,0.03
"Lime (Mexican, West Indian, Key) 4 - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae","Lime (Mexican, West Indian, Key) 3 - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae",0.9456733653722988,Limonene,0.49,gamma-Terpinene,0.12,Terpinolene,0.07,alpha-Terpineol,0.06,beta-Pinene,0.02
"Lime (Mexican, West Indian, Key) 5 - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae","Lime (Mexican, West Indian, Key) (Ivory Coast) - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae",0.9004912684616495,Limonene,0.41,gamma-Terpinene,0.11,Terpinolene,0.08,alpha-Terpineol,0.08,"1,8-Cineole",0.06
"Lime (Mexican, West Indian, Key) 7 - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae","Lime (Mexican, West Indian, Key) (Ivory Coast) - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae",0.9039706365990868,Limonene,0.42,gamma-Terpinene,0.1,Terpinolene,0.08,alpha-Terpineol,0.08,"1,8-Cineole",0.07
