,Limonene,beta-Pinene,alpha-Pinene,Camphene,para-Cymene,beta-Caryophyllene,Myrcene,alpha-Humulene,beta-Phellandrene,alpha-Terpinene,Sabinene,Linalool,Terpinen-4-ol,gamma-Terpinene,beta-Thujone,alpha-Thujone,cis-Sabinene hydrate,Caryophyllene oxide,Spathulenol,Myrtenal,Pinocarvone,Myrtenol,beta-Eudesmol,Cumin alcohol,Germacrene D,Menthol,Methyl eugenol,Methyl chavicol,(E)-beta-Ocimene,alpha-Cadinol,(Z)-beta-Ocimene,alpha-Thujene,Carvone,Isopinocamphone,Elemol,allo-Aromadendrene,Bicyclogermacrene,gamma-Eudesmol,Menthone,alpha-Eudesmol,Pinocamphone,Myrtenyl methyl ether,alpha-Muurolol
"Hyssop (Yugoslavia) 1b form cyaneus - Hyssopus officinalis L., f. cyaneus Alef., fam. Lamiaceae (Labiatae)",0.006,0.028,0.001,0.0005,0.0005,0.007,0.008,0.002,0.014,0.0005,0.007,0.008,0.001,0.0005,0.003,0.001,0.001,0.001,0.014,0.002,0.004,0.017,0.002,0.002,0.025,0.001,0.001,0.001,0.002,0.004,0.0005,0.0005,0.003,0.3,0.021,0.012,0.028,0.002,0.0005,0.002,0.408,0.027,0.002
"Hyssop (Yugoslavia) 1c form ruber - Hyssopus officinalis L., f. ruber Mill., fam. Lamiaceae (Labiatae)",0.017,0.045,0.002,0.0005,0.0005,0.012,0.012,0.001,0.023,0.0005,0.01,0.008,0.001,0.0005,0.002,0.0005,0.002,0.002,0.011,0.003,0.026,0.032,0.001,0.002,0.026,0.002,0.003,0.002,0.001,0.002,0.0005,0.0005,0.003,0.273,0.009,0.01,0.011,0.001,0.004,0.001,0.417,0.013,0.001
