Plant 1,Plant 2,Similarity Score,First Most Present Chemical,First Most Present Amount,Second Most Present Chemical,Second Most Present Amount,Third Most Present Chemical,Third Most Present Amount,Fourth Most Present Chemical,Fourth Most Present Amount,Fifth Most Present Chemical,Fifth Most Present Amount
"Celery seed (China) 1 - Apium graveolens L., fam. Apiaceae (Umbelliferae)","Celery seed (India) 3 - Apium graveolens L., fam. Apiaceae (Umbelliferae)",0.9250331695759256,Limonene,0.72,beta-Selinene,0.12,3-n-Butylphthalide,0.03,"cis-3-Butylidene-4,5-dihydrophthalide",0.02,alpha-Selinene,0.02
"Celery seed (India) 3 - Apium graveolens L., fam. Apiaceae (Umbelliferae)","Celery seed (China) 1 - Apium graveolens L., fam. Apiaceae (Umbelliferae)",0.9250331695759256,Limonene,0.72,beta-Selinene,0.12,3-n-Butylphthalide,0.03,Ligustilide,0.02,alpha-Selinene,0.02
"Citron (Italy) peel 1a - Citrus medica L., cultivar Diamante, fam. Rutaceae","Citron (Italy) peel 1b - Citrus medica L., cultivar Diamante, fam. Rutaceae",0.954679350466496,Limonene,0.6,gamma-Terpinene,0.24,(E)-beta-Ocimene,0.02,alpha-Pinene,0.02,beta-Pinene,0.02
"Citron (Italy) peel 1b - Citrus medica L., cultivar Diamante, fam. Rutaceae","Citron (Italy) peel 1a - Citrus medica L., cultivar Diamante, fam. Rutaceae",0.954679350466496,Limonene,0.6,gamma-Terpinene,0.25,(E)-beta-Ocimene,0.02,Myrcene,0.02,(Z)-beta-Ocimene,0.02
"Citrus pennivesiculata peel, Moi - Citrus pennivesiculata (Luash.) Tan., cultivar Moi, fam. Rutaceae","Lime (Mexican, West Indian, Key) (Vietnam) - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae",0.9263710472147936,Limonene,0.71,gamma-Terpinene,0.13,beta-Pinene,0.05,alpha-Thujene,0.02,Myrcene,0.02
"Citrus volkameriana (Colombia) - Citrus volkameriana L., fam. Rutaceae","Yuzu (Japan) 3 - Citrus junos Sieb. ex Tanaka, fam. Rutaceae",0.903411274674018,Limonene,0.78,gamma-Terpinene,0.08,Sabinene,0.04,Myrcene,0.02,alpha-Pinene,0.01
"Clementine x Lemon (Italy) 1 - Citrus clementina Hort. ex Tan. x Citrus limon (L.) Burm., fam. Rutaceae","Lemon (Italy-Sicily) 15a Femminello siracusano - Citrus limon (L.) Burm. f., cultivar Femminello siracusano, fam. Rutaceae",0.9207752836312316,Limonene,0.7,gamma-Terpinene,0.09,beta-Pinene,0.05,Sabinene,0.04,Myrcene,0.02
"Lemon (Argentina) 1 - Citrus limon (L.) Burm. f., fam. Rutaceae","Lemon (Argentina) 2 - Citrus limon (L.) Burm. f., fam. Rutaceae",0.979939891440354,Limonene,0.7,beta-Pinene,0.11,gamma-Terpinene,0.08,Myrcene,0.02,alpha-Pinene,0.02
"Lemon (Benin) - Citrus limon (L.) Burm. f., fam. Rutaceae","Lime (Mexican, West Indian, Key) (Vietnam) - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae",0.911745533374061,Limonene,0.7,gamma-Terpinene,0.12,beta-Pinene,0.04,"1,8-Cineole",0.03,alpha-Pinene,0.02
"Lemon (Brazil) 1 - Citrus limon (L.) Burm. f., cultivar Sicilian, fam. Rutaceae","Lemon (Brazil) 2 - Citrus limon (L.) Burm. f., cultivar Eureka, fam. Rutaceae",0.9463245075973624,Limonene,0.67,beta-Pinene,0.15,gamma-Terpinene,0.05,alpha-Pinene,0.04,Geranial,0.02
