Plant 1,Plant 2,Similarity Score,First Most Present Chemical,First Most Present Amount,Second Most Present Chemical,Second Most Present Amount,Third Most Present Chemical,Third Most Present Amount,Fourth Most Present Chemical,Fourth Most Present Amount,Fifth Most Present Chemical,Fifth Most Present Amount
"Cinnamomum impressinervium - Cinnamomum impressinervium Meissn., fam. Lauraceae","Cinnamon leaf (India) 3a - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae",0.908805473205154,Eugenol,0.88,Limonene,0.04,delta-3-Carene,0.02,Eugenyl acetate,0.01,para-Cymene,0.01
"Cinnamon leaf (Brazil) 1a - Cinnamomum zeylanicum Blume (C. verum L. Presl.), fam. Lauraceae","Cinnamon leaf (India) 3a - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae",0.9306654621084136,Eugenol,0.95,Terpinen-4-ol,0.01,Linalool,0.01,(E)-Cinnamyl aldehyde,0.01,Benzyl benzoate,0.01
"Cinnamon leaf (Cameroon) - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae","Cinnamon leaf (India) 1a - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae",0.9233792011866868,Eugenol,0.85,(E)-Cinnamyl aldehyde,0.05,Linalool,0.03,beta-Caryophyllene,0.02,alpha-Phellandrene,0.01
"Cinnamon leaf (China) 1 - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae","Cinnamon leaf 1 - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae",0.9126836251105714,Eugenol,0.83,Benzyl benzoate,0.03,beta-Caryophyllene,0.02,alpha-Phellandrene,0.02,Eugenyl acetate,0.02
"Cinnamon leaf (India) 1a - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae","Cinnamon leaf (Cameroon) - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae",0.9233792011866868,Eugenol,0.84,Linalool,0.04,Cinnamyl acetate,0.02,beta-Caryophyllene,0.02,(E)-Cinnamyl aldehyde,0.02
"Cinnamon leaf (India) 3a - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae","Cinnamomum impressinervium - Cinnamomum impressinervium Meissn., fam. Lauraceae",0.908805473205154,Eugenol,0.91,Linalool,0.01,Eugenyl acetate,0.01,beta-Caryophyllene,0.01,alpha-Pinene,0.01
"Cinnamon leaf (India) 3b - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae","Cinnamon leaf (Brazil) 1a - Cinnamomum zeylanicum Blume (C. verum L. Presl.), fam. Lauraceae",0.9654544488755804,Eugenol,0.94,Eugenyl acetate,0.01,Linalool,0.01,beta-Caryophyllene,0.0,Benzyl benzoate,0.0
"Cinnamon leaf (Seychelles) - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae","Cinnamon leaf (Sri Lanka) - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae",0.9177764334756332,Eugenol,0.68,(E)-Cinnamyl aldehyde,0.06,beta-Caryophyllene,0.03,Linalool,0.02,para-Cymene,0.01
"Cinnamon leaf (Sri Lanka) - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae","Cinnamon leaf (Seychelles) - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae",0.9177764334756332,Eugenol,0.68,(E)-Cinnamyl aldehyde,0.06,Benzyl benzoate,0.04,beta-Caryophyllene,0.03,Linalool,0.02
"Cinnamon leaf 1 - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae","Cinnamon leaf (China) 1 - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae",0.9126836251105714,Eugenol,0.87,Benzyl benzoate,0.03,beta-Caryophyllene,0.02,Linalool,0.02,Cinnamyl aldehyde,0.01
"Clove bud (Madagascar) 1 - Eugenia caryophyllus (Spreng.) Bullock & Harrison, fam. Myrtaceae",Clove bud 6 - Eugenia caryophyllus (Spreng.) Bullock & Harrison (E.caryophyllata Thunb.),0.94221749794413,Eugenol,0.77,beta-Caryophyllene,0.1,Eugenyl acetate,0.08,alpha-Humulene,0.01,Caryophyllene oxide,0.0
Clove bud 6 - Eugenia caryophyllus (Spreng.) Bullock & Harrison (E.caryophyllata Thunb.),"Clove bud (Madagascar) 1 - Eugenia caryophyllus (Spreng.) Bullock & Harrison, fam. Myrtaceae",0.94221749794413,Eugenol,0.77,beta-Caryophyllene,0.12,Eugenyl acetate,0.1,alpha-Humulene,0.01,,0.0
