,Limonene,beta-Pinene,alpha-Pinene,Camphene,para-Cymene,Borneol,beta-Caryophyllene,Myrcene,Terpinolene,delta-3-Carene,Sabinene,alpha-Terpineol,Linalool,gamma-Terpinene,Camphor,Geranyl acetate,"1,8-Cineole",Neryl acetate,(E)-beta-Ocimene,(Z)-beta-Ocimene,alpha-Thujene,Linalyl acetate,Hexyl tiglate,1-Octenol-3,3-Octanone,trans-Linalool oxide (unknown isomer),3-Octanol,1-Octenyl-3 acetate,Lavandulol,trans-Alloocimene,Lavandulyl acetate,Butyl butyrate,cis-Alloocimene,Hexyl isobutyrate
Lavender (USA) (var. Jean Davis) - Lavandula angustifolia Mill. (L. officinalis Chaix) (Jean Davis cultivar),0.0082,0.0011,0.0024,0.0004,0.0019,0.0032,0.0011,0.0051,0.0007,0.0025,0.0012,0.0016,0.4626,0.0005,0.0027,0.0023,0.0232,0.0013,0.003,0.0015,0.0001,0.0978,0.001,0.0164,0.0138,0.0003,0.0002,0.0035,0.0552,0.0005,0.2151,0.0026,0.0004,0.0016
Lavender (USA) (var. Loddon pink) - Lavandula angustifolia Mill. (L. officinalis Chaix) (Loddon pink cultivar),0.0054,0.0005,0.0051,0.0002,0.0013,0.003,0.0011,0.004,0.0007,0.0016,0.0008,0.0015,0.4676,0.0003,0.0006,0.0018,0.014,0.001,0.004,0.0012,0.0001,0.0746,0.0008,0.0142,0.0127,0.0003,0.0003,0.0025,0.0624,0.0002,0.2551,0.0011,0.0004,0.0003
