Plant 1,Plant 2,Similarity Score,First Most Present Chemical,First Most Present Amount,Second Most Present Chemical,Second Most Present Amount,Third Most Present Chemical,Third Most Present Amount,Fourth Most Present Chemical,Fourth Most Present Amount,Fifth Most Present Chemical,Fifth Most Present Amount
"Cardamom (Guatemala) - Elettaria cardamomum (L.) Maton, fam. Zingiberaceae","Cardamom seed 1 - Elettaria cardamomum (L.) Maton, fam. Zingiberaceae",0.981057304436529,alpha-Terpinyl acetate,0.43,"1,8-Cineole",0.33,Linalyl acetate,0.06,Sabinene,0.04,Linalool,0.03
"Cardamom (India) 1 - Elettaria cardamomum (L.) Maton, fam. Zingiberaceae","Cardamom (India) 5b - Elettaria cardamomum (L.) Maton, fam. Zingiberaceae",0.9054019214468642,alpha-Terpinyl acetate,0.42,"1,8-Cineole",0.29,Linalool,0.05,alpha-Terpineol,0.04,Limonene,0.03
"Cardamom (India) 4 - Elettaria cardamomum (L.) Maton, fam. Zingiberaceae","Cardamom (India) 5b - Elettaria cardamomum (L.) Maton, fam. Zingiberaceae",0.9231383284909188,alpha-Terpinyl acetate,0.39,"1,8-Cineole",0.29,alpha-Terpineol,0.05,Sabinene,0.04,Linalool,0.03
"Cardamom (India) 5b - Elettaria cardamomum (L.) Maton, fam. Zingiberaceae","Cardamom (India) 1 - Elettaria cardamomum (L.) Maton, fam. Zingiberaceae",0.9054019214468642,alpha-Terpinyl acetate,0.41,"1,8-Cineole",0.27,alpha-Terpineol,0.06,beta-Pinene,0.04,Linalool,0.04
"Cardamom seed 1 - Elettaria cardamomum (L.) Maton, fam. Zingiberaceae","Cardamom (Guatemala) - Elettaria cardamomum (L.) Maton, fam. Zingiberaceae",0.981057304436529,alpha-Terpinyl acetate,0.43,"1,8-Cineole",0.32,Linalyl acetate,0.06,Sabinene,0.04,Linalool,0.03
