Plant 1,Plant 2,Similarity Score
"Balsamite/Costmary (Iran) - Chrysanthemum balsamita L., fam. Asteraceae (Compositae)","Spearmint, scotch (USA) 1 - Mentha gracilis Sole, fam. Lamiaceae (Labiatae)",0.9000526609947962
"Balsamite/Costmary (Lithuania) 1a - Chrysanthemum balsamita L., fam. Asteraceae (Compositae)","Balsamite/Costmary (Lithuania) 1b - Chrysanthemum balsamita L., fam. Asteraceae (Compositae)",0.9159546210124984
"Balsamite/Costmary (Lithuania) 1b - Chrysanthemum balsamita L., fam. Asteraceae (Compositae)","Balsamite/Costmary (Lithuania) 1a - Chrysanthemum balsamita L., fam. Asteraceae (Compositae)",0.9159546210124984
"Mentha longifolia ssp. petiolata (Greece) 2 - Mentha longifolia (L.) ssp. petiolata (Chemotype II), fam. Lamiaceae","Mentha spicata (Greece) Chemotype II - Mentha spicata L. (Chemotype II), fam. Lamiaceae (Labiatae)",0.962575527802634
"Mentha spicata (Greece) Chemotype II - Mentha spicata L. (Chemotype II), fam. Lamiaceae (Labiatae)","Mentha longifolia ssp. petiolata (Greece) 2 - Mentha longifolia (L.) ssp. petiolata (Chemotype II), fam. Lamiaceae",0.962575527802634
"Spearmint, scotch (USA) 1 - Mentha gracilis Sole, fam. Lamiaceae (Labiatae)","Balsamite/Costmary (Iran) - Chrysanthemum balsamita L., fam. Asteraceae (Compositae)",0.9000526609947962
"Spearmint, scotch (USA) 2 - Mentha gracilis Sole, fam. Lamiaceae (Labiatae)","Spearmint, scotch (USA) 3 - Mentha gracilis Sole, fam. Lamiaceae (Labiatae)",0.9409723160348188
"Spearmint, scotch (USA) 3 - Mentha gracilis Sole, fam. Lamiaceae (Labiatae)","Spearmint, scotch (USA) 2 - Mentha gracilis Sole, fam. Lamiaceae (Labiatae)",0.9409723160348188
