,Limonene,beta-Pinene,alpha-Pinene,Camphene,para-Cymene,Myrcene,Terpinolene,beta-Phellandrene,delta-3-Carene,alpha-Terpinene,Sabinene,alpha-Terpineol,Linalool,alpha-Phellandrene,Terpinen-4-ol,gamma-Terpinene,trans-Sabinene hydrate,(E)-beta-Ocimene,(Z)-beta-Ocimene,alpha-Thujene,cis-p-Menth-2-en-1-ol,Alloocimene (unknown isomer),trans-p-Menth-2-en-1-ol,Methyl carvacrol,Methyl thymol
"Seafennel (Portugal) 1 - Crithmum maritimum L., fam. Apiaceae (Umbelliferae)",0.001,0.001,0.004,0.0001,0.053,0.011,0.001,0.002,0.0001,0.0001,0.27,0.007,0.0001,0.0001,0.005,0.298,0.002,0.001,0.042,0.002,0.002,0.0001,0.0001,0.001,0.29
"Seafennel (Portugal) 1b vacuum extracted - Crithmum maritimum L., fam. Apiaceae (Umbelliferae)",0.001,0.001,0.003,0.0001,0.076,0.012,0.0001,0.002,0.0001,0.001,0.244,0.005,0.0001,0.0001,0.006,0.311,0.002,0.002,0.045,0.001,0.002,0.0001,0.0001,0.001,0.278
