,Limonene,beta-Pinene,alpha-Pinene,para-Cymene,Myrcene,delta-3-Carene,Sabinene,alpha-Terpineol,Linalool,Terpinen-4-ol,gamma-Terpinene,Thymol,Carvacrol,alpha-Thujene
"Ajowan (Iran) aerial part - Trachyspermum copticum (L.) Link., fam. Apiaceae (Umbelliferae)",0.007,0.004,0.001,0.141,0.01,0.0,0.0,0.0,0.002,0.002,0.385,0.427,0.002,0.003
"Ajowan (Iran) seed - Trachyspermum copticum (L.) Link., fam. Apiaceae (Umbelliferae)",0.005,0.006,0.001,0.139,0.007,0.0001,0.002,0.0001,0.002,0.001,0.359,0.462,0.003,0.003
