Plant 1,Plant 2,Similarity Score,First Most Present Chemical,First Most Present Amount,Second Most Present Chemical,Second Most Present Amount,Third Most Present Chemical,Third Most Present Amount,Fourth Most Present Chemical,Fourth Most Present Amount,Fifth Most Present Chemical,Fifth Most Present Amount
"Bergamot (China) 1 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (China) 6 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.989203224336229,Limonene,0.43,Linalool,0.18,Linalyl acetate,0.11,Geraniol,0.06,beta-Pinene,0.05
"Bergamot (China) 3 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot 1a peel extract - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.9049366851693672,Limonene,0.42,Linalyl acetate,0.31,Linalool,0.08,gamma-Terpinene,0.05,beta-Pinene,0.04
"Bergamot (China) 4 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Turkey) 3a green fruit - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.9346342267004328,Limonene,0.35,Linalyl acetate,0.31,Linalool,0.17,gamma-Terpinene,0.05,beta-Pinene,0.03
"Bergamot (France, Corsica) - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy, Calabria) 3 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.9256298864386194,Linalyl acetate,0.29,Limonene,0.28,Linalool,0.19,beta-Pinene,0.08,gamma-Terpinene,0.07
"Bergamot (Italy) 1 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy, Calabria) 4 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.9209092010688654,Limonene,0.38,Linalyl acetate,0.27,Linalool,0.1,gamma-Terpinene,0.08,beta-Pinene,0.06
"Bergamot (Italy) 2 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy, Calabria) 8 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.927274855895899,Limonene,0.33,Linalyl acetate,0.33,Linalool,0.13,gamma-Terpinene,0.08,beta-Pinene,0.07
"Bergamot (Italy) 4 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy) 6 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.9060944147089252,Limonene,0.35,Linalyl acetate,0.28,Linalool,0.11,gamma-Terpinene,0.09,beta-Pinene,0.08
"Bergamot (Italy) 6 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy) 4 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.9060944147089252,Limonene,0.36,Linalyl acetate,0.29,beta-Pinene,0.09,Linalool,0.09,gamma-Terpinene,0.07
"Bergamot (Italy, Calabria) 3 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (France, Corsica) - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.9256298864386194,Linalyl acetate,0.3,Limonene,0.27,Linalool,0.18,gamma-Terpinene,0.08,beta-Pinene,0.08
"Bergamot (Italy, Calabria) 4 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy) 1 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.9209092010688654,Limonene,0.38,Linalyl acetate,0.28,Linalool,0.09,gamma-Terpinene,0.08,beta-Pinene,0.08
"Bergamot (Italy, Calabria) 5 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy, Calabria) 6 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.9603074861546288,Limonene,0.42,Linalyl acetate,0.27,gamma-Terpinene,0.08,beta-Pinene,0.07,Linalool,0.07
"Bergamot (Italy, Calabria) 6 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy, Calabria) 4 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.9272158700494776,Limonene,0.41,Linalyl acetate,0.28,gamma-Terpinene,0.08,beta-Pinene,0.07,Linalool,0.07
"Bergamot (Italy, Calabria) 8 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy) 2 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.927274855895899,Linalyl acetate,0.32,Limonene,0.31,Linalool,0.13,gamma-Terpinene,0.08,beta-Pinene,0.08
