,Limonene,beta-Caryophyllene,Myrcene,alpha-Humulene,alpha-Terpineol,Linalool,Terpinen-4-ol,beta-Bisabolene,Nerolidol (unknown isomer),Ethanol,ar-Curcumene,cis-Linalool oxide (unknown isomer),trans-Linalool oxide (unknown isomer),Elsholtzione,Curcumene (unknown isomer),Isobutanol,(E)-Tagetone,(Z)-Tagetone,2-Methylpropanal,Ipsenone,Dihydrotagetone,Isobutyl formate
"Basil (Italy) 2 var. hispidum - Ocimum basilicum L. cultivar hispidum (Lam.) Chiov., fam. Lamiaceae",0.0016,0.0014,0.0063,0.0054,0.0073,0.0062,0.0017,0.0015,0.0028,0.001,0.0035,0.0001,0.0001,0.0041,0.0,0.0006,0.0015,0.0049,0.0009,0.0017,0.8227,0.0006
"Basil, var. hispidum (Somalia) - Ocimum basilicum L. cultivar hispidum, fam. Lamiaceae (Labiatae)",0.0016,0.0014,0.0063,0.0054,0.0073,0.0062,0.0017,0.0015,0.0028,0.001,0.0,0.0001,0.0001,0.0041,0.0035,0.0006,0.0015,0.0049,0.0009,0.0017,0.8227,0.0006
