,Limonene,beta-Caryophyllene,delta-Cadinene,beta-Eudesmol,beta-Elemene,(E)-Nerolidol,alpha-Cubebene,(E)-alpha-Farnesol,"Sesquiterpenes, oxygen-containing-",Bisabolol (unknown isomer)
"Cabreuva - Myrocarpus frondosus Fr. Allem. (M. fastigiatus Fr. Allem.), Leguminosae",0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.025,0.005,0.01
"Zanthoxylum gardneri (Laranjinha) - Zanthoxylum gardneri Engl., fam. Rutaceae",0.004,0.0027,0.0018,0.0028,0.009,0.815,0.0045,0.0,0.0,0.0
