Plant 1,Plant 2,Similarity Score,First Most Present Chemical,First Most Present Amount,Second Most Present Chemical,Second Most Present Amount,Third Most Present Chemical,Third Most Present Amount,Fourth Most Present Chemical,Fourth Most Present Amount,Fifth Most Present Chemical,Fifth Most Present Amount
"Basil (Argentina) 1a Castelar - Ocimum basilicum L. cultivar Castelar, fam. Lamiaceae (Labiatae)","Basil (Argentina) 1e Merlo - Ocimum basilicum L. cultivar Merlo, fam. Lamiaceae (Labiatae)",0.9123568372559274,Linalool,0.44,Methyl chavicol,0.24,"1,8-Cineole",0.04,Eugenol,0.02,Camphor,0.01
"Basil (Argentina) 1e Merlo - Ocimum basilicum L. cultivar Merlo, fam. Lamiaceae (Labiatae)","Basil (Argentina) 1a Castelar - Ocimum basilicum L. cultivar Castelar, fam. Lamiaceae (Labiatae)",0.9123568372559274,Linalool,0.45,Methyl chavicol,0.25,Eugenol,0.03,beta-Pinene,0.0,Camphor,0.0
"Basil (India), flower - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Basil (India), whole plant - Ocimum basilicum L., fam. Lamiaceae (Labiatae)",0.9426917987942164,Linalool,0.5,Methyl chavicol,0.34,Eugenol,0.05,"1,8-Cineole",0.02,Geranial,0.01
"Basil (India), whole plant - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Basil (India), flower - Ocimum basilicum L., fam. Lamiaceae (Labiatae)",0.9426917987942164,Linalool,0.5,Methyl chavicol,0.32,Eugenol,0.04,"1,8-Cineole",0.02,Methyl eugenol,0.01
"Basil (Italy) 1b dry leaves - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Basil (Italy) 1d oleoresin dry leaves - Ocimum basilicum L., fam. Lamiaceae (Labiatae)",0.9099780452874536,Methyl chavicol,0.3,Linalool,0.28,"1,8-Cineole",0.06,Geranyl acetate,0.03,Eugenol,0.02
"Basil (Italy) 1d oleoresin dry leaves - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Basil (Italy) 1b dry leaves - Ocimum basilicum L., fam. Lamiaceae (Labiatae)",0.9099780452874536,Methyl chavicol,0.27,Linalool,0.27,"1,8-Cineole",0.06,Geranyl acetate,0.05,Eugenol,0.04
