Plant 1,Plant 2,Similarity Score,First Most Present Chemical,First Most Present Amount,Second Most Present Chemical,Second Most Present Amount,Third Most Present Chemical,Third Most Present Amount,Fourth Most Present Chemical,Fourth Most Present Amount,Fifth Most Present Chemical,Fifth Most Present Amount
"Peppermint (Australia) - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (USA)  9b - Mentha piperita L., fam. Lamiaceae (Labiatae)",0.9035688327916602,Menthol,0.46,Menthone,0.2,"1,8-Cineole",0.05,Menthyl acetate,0.03,Isomenthone,0.03
"Peppermint (Bulgaria) 1 - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint 5c - Mentha piperita L. cultivar Mitcham, fam. Lamiaceae (Labiatae)",0.980948111468505,Menthone,0.32,Menthol,0.27,Isomenthone,0.07,Menthyl acetate,0.07,"1,8-Cineole",0.04
"Peppermint (Canada) 4b - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (France) 5 - Mentha piperita L., fam. Lamiaceae (Labiatae)",0.9017823868208896,Menthol,0.42,Menthone,0.18,"1,8-Cineole",0.06,Menthyl acetate,0.06,Menthofuran,0.06
"Peppermint (France) 5 - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (Canada) 4b - Mentha piperita L., fam. Lamiaceae (Labiatae)",0.9017823868208896,Menthol,0.4,Menthone,0.18,"1,8-Cineole",0.06,Menthyl acetate,0.04,Menthofuran,0.04
"Peppermint (Greece) 1 - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (USA)  3 - Mentha piperita L., fam. Lamiaceae (Labiatae)",0.9013465322447172,Menthol,0.46,Menthone,0.24,Hexyl (iso/n)-pentanoate,0.04,Isomenthone,0.03,"1,8-Cineole",0.02
"Peppermint (Italy)  6a - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint 3 - Mentha piperita L., fam. Lamiaceae (Labiatae)",0.902997631813666,Menthol,0.31,Menthone,0.2,"1,8-Cineole",0.05,gamma-Terpinene,0.04,Menthofuran,0.03
"Peppermint (Italy)  7 - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (France) 5 - Mentha piperita L., fam. Lamiaceae (Labiatae)",0.9260487258523826,Menthol,0.39,Menthone,0.18,Menthofuran,0.06,"1,8-Cineole",0.05,Menthyl acetate,0.04
"Peppermint (USA)  3 - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (Greece) 1 - Mentha piperita L., fam. Lamiaceae (Labiatae)",0.9013465322447172,Menthol,0.46,Menthone,0.24,Isomenthone,0.04,Menthyl acetate,0.04,Neomenthol,0.02
"Peppermint (USA)  8 - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (USA)  9b - Mentha piperita L., fam. Lamiaceae (Labiatae)",0.9102322400772004,Menthol,0.43,Menthone,0.2,Menthyl acetate,0.05,"1,8-Cineole",0.05,Neomenthol,0.04
"Peppermint (USA)  9b - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (Australia) - Mentha piperita L., fam. Lamiaceae (Labiatae)",0.9035688327916612,Menthol,0.43,Menthone,0.21,"1,8-Cineole",0.05,Menthyl acetate,0.05,Neomenthol,0.04
"Peppermint (USA)  9c - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (USA)  9b - Mentha piperita L., fam. Lamiaceae (Labiatae)",0.9290988121435002,Menthol,0.44,Menthone,0.18,Menthyl acetate,0.06,"1,8-Cineole",0.05,Neomenthol,0.04
"Peppermint (USA)  9d - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (USA)  8 - Mentha piperita L., fam. Lamiaceae (Labiatae)",0.9045939705858744,Menthol,0.42,Menthone,0.2,"1,8-Cineole",0.05,Menthyl acetate,0.05,Neomenthol,0.04
"Peppermint 3 - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (Italy)  6a - Mentha piperita L., fam. Lamiaceae (Labiatae)",0.902997631813666,Menthol,0.31,Menthone,0.2,"1,8-Cineole",0.05,Menthofuran,0.03,Isomenthone,0.03
